Year,Month,Day,Daytype,Time,City,Province,LocationType,Density,Target,Kills,Injures,Temperature(F)
2010,2,18,Working Day,Missing,Khyber Agency,Khyber-Pakhtunkhwa,Religious Area,Medium,Police and Military,26,70,53
2010,2,20,Weekend or Holiday,9,Mansehra,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,7,56
2010,2,22,Working Day,4,Swat,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,10,39,52
2010,2,27,Weekend or Holiday,Missing,Karak,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,4,23,53
2010,3,5,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Vehicle,Low,Civilian,13,32,54
2010,3,8,Working Day,8,Lahore ,Punjab,Office Building,High,Police and Military,13,90,68
2010,3,12,Working Day,12,Lahore ,Punjab,Military or Police Area,High,Police and Military,50,95,73
2010,3,13,Weekend or Holiday,9,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,15,56,61
2010,3,29,Working Day,Missing,Tank,Khyber-Pakhtunkhwa,Office Building,Medium,Police and Military,2,2,61
2010,3,29,Working Day,Missing,Bajaur Agency,FATA,Vehicle,Low,Police and Military,2,6,67
2010,4,5,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Foreign Area,High,Tourist,7,0,73
2010,4,5,Working Day,12,Lower Dir,Khyber-Pakhtunkhwa,Hotel and Hospital,Medium,"Government, Media and Officer",53,97,69
2010,4,16,Working Day,Missing,Quetta,Balochistan,Hotel and Hospital,Low,"Government, Media and Officer",11,37,77
2010,4,17,Weekend or Holiday,12,Kohat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,42,65,83
2010,4,18,Weekend or Holiday,7,Kohat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,7,31,79
2010,4,19,Working Day,12,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,23,38,78
2010,4,28,Working Day,4,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,4,12,79
2010,5,1,Weekend or Holiday,Missing,Swat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,5,12,73
2010,5,2,Weekend or Holiday,Missing,Bajaur Agency,FATA,Military or Police Area,High,Police and Military,0,0,80
2010,5,28,Working Day,Missing,Lahore ,Punjab,Religious Area,Medium,Civilian,87,146,88
2010,7,1,Working Day,22,Lahore ,Punjab,Religious Area,Medium,Civilian,41,175,90
2010,7,9,Working Day,Missing,Mohmand Agency ,FATA,Commercial and Residence Area,Low,"Government, Media and Officer",72,107,80
2010,7,12,Working Day,Missing,Kohat,Khyber-Pakhtunkhwa,Office Building,Low,"Government, Media and Officer",0,0,89
2010,7,18,Weekend or Holiday,Missing,Sargodha,Punjab,Religious Area,Medium,Religious,3,17,94
2010,7,26,Working Day,Missing,Nowshehra,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,"Government, Media and Officer",8,24,88
2010,8,4,Working Day,16,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,3,12,83
2010,8,23,Working Day,Missing,South waziristan,FATA,Religious Area,Medium,Police and Military,28,40,77
2010,9,1,Working Day,18,Lahore ,Punjab,Commercial and Residence Area,Low,Religious,35,196,89
2010,9,3,Working Day,Missing,Quetta,Balochistan,Commercial and Residence Area,Low,Civilian,58,175,80
2010,9,3,Working Day,Missing,Mardan,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,1,4,82
2010,9,6,Weekend or Holiday,7,lakki marwat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,17,45,79
2010,9,9,Working Day,12,Quetta,Balochistan,Commercial and Residence Area,Medium,"Government, Media and Officer",3,4,78
2010,10,7,Working Day,18,Karachi,Sindh,Religious Area,Medium,Religious,8,68,86
2010,10,18,Working Day,Missing,Lakki marwat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,Missing,9,69
2010,11,1,Working Day,8,Swabi ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,3,11,65
2010,11,5,Working Day,13,Dara Adam khel,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,68,101,68
2010,11,11,Working Day,20,Karachi ,Sindh,Military or Police Area,High,Police and Military,18,120,82
2010,11,11,Working Day,Missing,Poonch,AJK,Vehicle,Low,Police and Military,0,2,64
2010,11,14,Weekend or Holiday,Missing,South waziristan,FATA,Commercial and Residence Area,Low,Police and Military,1,8,46
2010,11,30,Working Day,8,Bannu,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,4,14,49
2010,12,6,Working Day,14,Mohmand Agency ,Fata,Office Building,High,"Government, Media and Officer",45,80,41
2010,12,7,Working Day,Missing,Quetta,Balochistan,Transport,Low,"Government, Media and Officer",Missing,11,40
2010,12,8,Working Day,13,Kohat,Khyber-Pakhtunkhwa,Transport,Low,Civilian,19,32,53
2010,12,10,Working Day,16,Hangu,Khyber-Pakhtunkhwa,Hotel and Hospital,Low,Civilian,13,23,50
2010,12,23,Working Day,Missing,Islamabad,Capital,Religious Area,Medium,Religious,1,2,53
2010,12,24,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Civilian,4,24,51
2010,12,25,Weekend or Holiday,Missing,Bajaur Agency,FATA,Foreign Area,High,Police and Military,44,92,49
2010,12,27,Working Day,"[18, 19, 20, 21, 22]",Muzaffarabad,AJK,Commercial and Residence Area,Medium,Religious,7,65,48
2011,1,12,Working Day,"[18, 19, 20, 21, 22]",Bannu,Khyber-Pakhtunkhwa,Religious Area,Medium,Civilian,19,17,45
2011,1,25,Working Day,"[18, 19, 20, 21, 22]",Lahore,Punjab,Military or Police Area,High,Religious,14,75,57
2011,1,27,Working Day,Missing,Bajaur Agency,FATA,Military or Police Area,High,Police and Military,0,0,50
2011,1,31,Working Day,"[7, 8, 9, 10]",Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,15,57
2011,2,10,Working Day,8,Mardan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,32,42,51
2011,2,11,Working Day,Missing,Mohmand Agency ,Fata,Military or Police Area,High,Police and Military,1,3,34
2011,2,12,Weekend or Holiday,"[7, 8, 9, 10]",Malakand ,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,2,Missing,46
2011,2,19,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,Missing,4,41
2011,3,1,Working Day,"[18, 19, 20, 21, 22]",Karachi,Sindh,Commercial and Residence Area,Low,Civilian,0,0,74
2011,3,3,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Vehicle,Low,Police and Military,7,33,49
2011,3,9,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,40,52,65
2011,3,24,Working Day,8,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,6,27,71
2011,3,30,Working Day,10,Swabi ,Khyber-Pakhtunkhwa,Military or Police Area,High,"Government, Media and Officer",11,17,68
2011,3,31,Working Day,12,Charsadda,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",12,31,66
2011,4,1,Working Day,Missing,Dara Adam khel,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,1,5,64
2011,4,3,Weekend or Holiday,17,D.G Khan ,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,46,107,73
2011,4,4,Working Day,12,Lower Dir,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,8,26,61
2011,4,7,Working Day,7,Quetta,Balochistan,Commercial and Residence Area,Medium,Police and Military,1,18,69
2011,4,23,Weekend or Holiday,Missing,Bajaur Agency,FATA,Vehicle,Low,Police and Military,5,6,79
2011,5,13,Working Day,6,Charsadda,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,88,134,84
2011,5,14,Weekend or Holiday,11,D.G Khan ,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,3,9,92
2011,5,25,Working Day,4,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,9,44,93
2011,5,26,Working Day,18,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,30,57,81
2011,5,28,Weekend or Holiday,10,Bajaur Agency,FATA,Commercial and Residence Area,Low,Police and Military,8,11,86
2011,6,5,Weekend or Holiday,20,Nowshehra,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,18,36,90
2011,6,12,Weekend or Holiday,23,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,33,93,87
2011,6,13,Working Day,15,Islamabad,Capital,Commercial and Residence Area,Low,Civilian,1,5,89
2011,6,25,Weekend or Holiday,Missing,D.I Khan ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,10,4,91
2011,7,11,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",7,25,88
2011,7,21,Working Day,Missing,South waziristan,FATA,Vehicle,Low,Tourist,Missing,2,75
2011,7,24,Weekend or Holiday,Missing,South waziristan,FATA,Military or Police Area,High,Police and Military,1,7,77
2011,8,6,Weekend or Holiday,Missing,Mohmand Agency ,Fata,Commercial and Residence Area,Low,Police and Military,1,0,76
2011,8,11,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,12,86
2011,8,19,Working Day,12,Khyber Agency,Khyber-Pakhtunkhwa,Religious Area,Medium,Civilian,53,100,87
2011,8,31,Weekend or Holiday,"[7, 8, 9, 10]",Quetta,Balochistan,Religious Area,Medium,Religious,12,18,78
2011,9,1,Weekend or Holiday,"[18, 19, 20, 21, 22]",Lakki marwat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,19,69
2011,9,7,Working Day,Missing,Quetta,Balochistan,Military or Police Area,High,Police and Military,27,71,83
2011,9,15,Working Day,12,Lower Dir,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,30,69,81
2011,9,19,Working Day,7,karachi,Sindh,Military or Police Area,High,Police and Military,8,5,84
2011,10,28,Working Day,Missing,Nowshehra,Khyber-Pakhtunkhwa,Military or Police Area,Missing,Police and Military,2,Missing,63
2011,11,7,Working Day,Missing,Swabi ,Khyber-Pakhtunkhwa,Office Building,Missing,"Government, Media and Officer",3,9,66
2011,11,16,Working Day,Missing,Karachi,Sindh,Vehicle,low,Police and Military,6,1,77
2011,11,18,Working Day,3,Karachi,Sindh,Commercial and Residence Area,low,Police and Military,1,Missing,81
2011,12,24,Weekend or Holiday,5,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,5,18,45
2012,1,3,Working Day,13,Gujrat,Punjab,Commercial and Residence Area,Low,Civilian,2,Missing,51
2012,1,3,Working Day,14,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,2,23,53
2012,1,3,Working Day,14,Khyber Agency,FATA,Commercial and Residence Area,Low,Civilian,3,8,52
2012,1,14,Weekend or Holiday,14,D.I Khan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,6,8,44
2012,1,30,Working Day,16,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,3,7,52
2012,2,17,Working Day,14,Kuram Agency ,FATA,Commercial and Residence Area,Low,Civilian,24,36,32
2012,2,16,Working Day,Missing,Upper Dir,FATA,Commercial and Residence Area,Low,Civilian,1,3,40
2012,2,24,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,6,49
2012,3,3,Weekend or Holiday,Missing,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,"Government, Media and Officer",0,6,62
2012,3,4,Weekend or Holiday,Missing,D.I Khan,Khyber-Pakhtunkhwa,Vehicle,Low,Police and Military,0,3,60
2012,3,11,Weekend or Holiday,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",14,31,55
2012,3,15,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,Low,Police and Military,1,3,60
2012,3,23,Working Day,Missing,Khyber Agency,Khyber-Pakhtunkhwa,Religious Area,Low,Police and Military,9,9,67
2012,4,5,Working Day,19,Karachi,Sindh,Vehicle,Low,Police and Military,5,13,88
2012,5,4,Working Day,7,Bajaur Agency,FATA,Commercial and Residence Area,Low,Police and Military,25,57,76
2012,6,12,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Vehicle,Low,Police and Military,2,5,87
2012,6,28,Working Day,Missing,Quetta,Balochistan,Vehicle,Low,Religious,13,25,83
2012,7,16,Working Day,9,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,4,5,76
2012,9,3,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Foreign Area,Low,Tourist,1,19,84
2012,9,10,Working Day,14,Kuram Agency ,FATA,Commercial and Residence Area,Low,Civilian,14,60,67
2012,10,13,Weekend or Holiday,10,Dara Adam khel,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,Police and Military,16,40,74
2012,11,4,Weekend or Holiday,14,Buner,Khyber-Pakhtunkhwa,Vehicle,Low,Police and Military,5,8,66
2012,11,7,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,7,32,67
2012,11,8,Working Day,6,Karachi,Sindh,Military or Police Area,High,Police and Military,1,20,78
2012,11,19,Working Day,Missing,Mohmand Agency ,FATA,Vehicle,Low,"Government, Media and Officer",0,3,45
2012,11,21,Working Day,18,Karachi,Sindh,Religious Area,High,Religious,3,5,71
2012,11,21,Working Day,Missing,Rawalpindi,Punjab,Religious Area,High,Religious,16,32,62
2012,11,25,Weekend or Holiday,Missing,D.I Khan,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Religious,5,75,53
2012,11,29,Working Day,Missing,South Waziristan,FATA,Vehicle,Low,Police and Military,6,14,39
2012,12,4,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,Missing,8,59
2012,12,5,Working Day,6,South waziristan,FATA,Military or Police Area,High,Police and Military,2,22,44
2012,12,22,Weekend or Holiday,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,"Government, Media and Officer",9,18,59
2013,1,10,Working Day,Missing,Quetta,Balochistan,Commercial and Residence Area,High,Civilian,72,118,48
2013,2,1,Working Day,12,Hangu,Khyber-Pakhtunkhwa,Religious Area,High,Civilian,25,45,51
2013,2,14,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,7,15,53
2013,2,14,Working Day,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,0,1,46
2013,2,16,Weekend or Holiday,18,Quetta,Balochistan,Commercial and Residence Area,Medium,Civilian,74,190,41
2013,2,18,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",5,7,59
2013,3,18,Working Day,12,Peshawar,Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",3,34,65
2013,3,23,Weekend or Holiday,Missing,North waziristan,FATA,Military or Police Area,High,Police and Military,15,27,43
2013,3,29,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Police and Military,8,23,70
2013,4,16,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,17,54,73
2013,4,16,Working Day,17,North waziristan,FATA,Military or Police Area,High,Police and Military,8,13,62
2013,4,20,Weekend or Holiday,Missing,Bajaur Agency,FATA,Office Building,High,Civilian,4,4,65
2013,4,23,Working Day,Missing,Quetta,Balochistan,Commercial and Residence Area,High,Civilian,6,38,63
2013,4,29,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,9,37,74
2013,5,1,Weekend or Holiday,Missing,Shikarpur,Sindh,Vehicle,Low,Civilian,1,2,87
2013,5,7,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,12,37,77
2013,5,8,Working Day,5,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,25,69
2013,5,11,Weekend or Holiday,"[18, 19, 20, 21, 22]",Karachi,Sindh,Military or Police Area,Medium,Police and Military,2,4,87
2013,5,12,Weekend or Holiday,"[18, 19, 20, 21, 22]",Quetta,Balochistan,Military or Police Area,High,Police and Military,6,56,74
2013,5,24,Working Day,12,Peshawar,Khyber-Pakhtunkhwa,Religious Area,High,Religious,3,2,94
2013,6,3,Working Day,Missing,North waziristan,FATA,Military or Police Area,High,Police and Military,Missing,2,71
2013,6,15,Weekend or Holiday,12,Quetta,Balochistan,Commercial and Residence Area,Low,Civilian,13,19,85
2013,6,15,Weekend or Holiday,12,Quetta,Balochistan,Hotel and Hospital,Low,Police and Military,11,Missing,85
2013,6,18,Working Day,16,Mardan,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,30,56,81
2013,6,21,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Religious Area,High,Civilian,14,29,95
2013,6,30,Weekend or Holiday,"[18, 19, 20, 21, 22]",Quetta,Balochistan,Religious Area,High,Civilian,29,67,87
2013,7,8,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,7,10,87
2013,7,25,Working Day,"[18, 19, 20, 21, 22]",Sukkur,Sindh,Military or Police Area,Low,Police and Military,8,30,97
2013,7,26,Working Day,"[18, 19, 20, 21, 22]",Kuram Agency ,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,46,190,78
2013,8,8,Weekend or Holiday,Missing,Quetta,Balochistan,Military or Police Area,High,Police and Military,34,55,87
2013,9,22,Weekend or Holiday,Missing,Peshawar,Khyber-Pakhtunkhwa,Religious Area,High,Civilian,79,122,85
2013,10,2,Working Day,Missing,Chaman,Balochistan,Office Building,High,"Government, Media and Officer",7,13,75
2013,10,3,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Police and Military,16,22,78
2013,10,11,Working Day,Missing,South waziristan,FATA,Military or Police Area,High,Police and Military,2,2,67
2013,10,16,Weekend or Holiday,"[18, 19, 20, 21, 22]",D. I Khan,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,8,30,83
2013,11,16,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,0,7,55
2013,11,19,Working Day,Missing,North waziristan,FATA,Commercial and Residence Area,High,Police and Military,7,1,54
2013,11,22,Working Day,10,Khyber Agency,Khyber-Pakhtunkhwa,Office Building,Medium,"Government, Media and Officer",0,26,60
2013,12,17,Working Day,"[18, 19, 20, 21, 22]",Rawalpindi,Punjab,Religious Area,Medium,Civilian,3,14,57
2013,12,18,Working Day,"[18, 19, 20, 21, 22]",North waziristan,FATA,Military or Police Area,High,Police and Military,5,29,46
2013,12,20,Working Day,Missing,Karachi,Sindh,Commercial and Residence Area,Medium,Police and Military,2,20,65
2014,1,1,Working Day,Missing,Quetta,Balochistan,Transport,High,Civilian,2,30,34
2014,1,6,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Civilian,2,2,48
2014,1,9,Working Day,Missing,Karachi,Sindh,Vehicle,Low,Police and Military,3,9,59
2014,1,20,Working Day,7,Rawalpindi,Punjab,Commercial and Residence Area,High,Police and Military,13,15,52
2014,1,23,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Missing,6,8,51
2014,1,29,Working Day,Missing,Karachi,Sindh,Military or Police Area,High,Police and Military,3,0,67
2014,2,4,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Hotel and Hospital,Medium,Civilian,9,37,51
2014,2,7,Working Day,Missing,Khanewal,Punjab,Vehicle,Low,Police and Military,0,5,56
2014,2,10,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,4,3,54
2014,2,13,Working Day,Missing,Karachi,Sindh,Military or Police Area,High,Police and Military,12,41,68
2014,2,24,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,2,9,61
2014,3,3,Working Day,Missing,Islamabad,Capital,Office Building,Medium,"Government, Media and Officer",11,26,51
2014,3,14,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,9,38,63
2014,4,24,Working Day,Missing,Karachi,Sindh,Commercial and Residence Area,High,Police and Military,3,8,87
2014,5,11,Weekend or Holiday,12,Peshawar,Khyber-Pakhtunkhwa,Religious Area,High,Civilian,4,10,77
2014,6,4,Working Day,9,Fateh Jang,Punjab,Vehicle,Low,Police and Military,5,5,87
2014,6,8,Weekend or Holiday,Missing,Taftan,Balochistan,Hotel and Hospital,High,Civilian,26,11,81
2014,6,9,Working Day,Missing,Karachi,Sindh,Missing,Missing,Missing,28,24,90
2014,6,19,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,Civilian,1,5,91
2014,6,24,Working Day,Missing,North waziristan,FATA,Hotel and Hospital,High,Police and Military,3,1,82
2014,9,24,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Vehicle,Medium,Police and Military,4,23,85
2014,10,4,Weekend or Holiday,"[18, 19, 20, 21, 22]",Quetta,Balochistan,Commercial and Residence Area,High,Civilian,5,12,79
2014,10,15,Working Day,Missing,Tirah Valley,FATA,Missing,Missing,Missing,7,5,62
2014,10,23,Working Day,Missing,Quetta,Balochistan,Commercial and Residence Area,Medium,Civilian,2,17,70
2014,11,2,Weekend or Holiday,Missing,Wagah,Punjab,Military or Police Area,High,Civilian,50,95,71
2014,12,16,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Missing,148,132,49
2014,12,28,Weekend or Holiday,Missing,Zhob,Balochistan,Missing,Missing,Missing,2,0,47
2015,1,30,Working Day,Missing,Shikarpur,Sindh,Missing,Missing,Missing,61,39,61
2015,2,13,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Missing,21,60,63
2015,2,17,Working Day,Missing,Lahore,Punjab,Missing,Missing,Missing,7,Missing,65
2015,2,18,Working Day,Missing,Rawalpindi,Punjab,Missing,Missing,Missing,5,6,59
2015,3,15,Weekend or Holiday,Missing,Lahore,Punjab,Missing,Missing,Missing,17,71,65
2015,3,20,Working Day,Missing,Karachi,Sindh,Missing,Missing,Missing,2,0,80
2015,5,6,Working Day,Missing,KURRAM AGENCY,FATA,Missing,Missing,Missing,2,3,78
2015,5,26,Working Day,Missing,Karachi,Sindh,Missing,Missing,Police and Military,1,Missing,91
2015,5,26,Working Day,Missing,Karachi,Sindh,Missing,Missing,Missing,5,Missing,91
2015,5,29,Working Day,Missing,Lahore,Punjab,Missing,Missing,Missing,1,6,93
2015,6,6,Weekend or Holiday,Missing,Sargodha,Punjab,Missing,Missing,Missing,2,6,85
2015,6,8,Working Day,Missing,North waziristan,FATA,Missing,Missing,Missing,13,Missing,80
2015,6,11,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Missing,1,5,87
2015,6,29,Working Day,Missing,Lahore,Punjab,Missing,Missing,Missing,2,Missing,Missing
2015,7,17,Weekend or Holiday,Missing,Quetta,Balochistan,Missing,Missing,Missing,1,Missing,Missing
2015,8,16,Weekend or Holiday,Missing,ATTOCK,Punjab,Missing,Missing,Missing,17,24,83
2015,8,27,Working Day,Missing,MULTAN,Punjab,Missing,Missing,Missing,4,2,92
2015,9,1,Working Day,Missing,Khyber Agency,Khyber-Pakhtunkhwa,Missing,Missing,Missing,4,53,82
2015,9,20,Weekend or Holiday,Missing,Karachi,Sindh,Commercial and Residence Area,Low,Police and Military,1,2,95
2015,10,14,Working Day,Missing,Taunsa,Punjab,Missing,Missing,Missing,7,15,84
2015,10,22,Weekend or Holiday,Missing,Quetta,Balochistan,Religious Area,Missing,Religious,10,13,61
2015,10,23,Weekend or Holiday,Missing,Jacobabad,Sindh,Missing,Missing,Religious,22,40,83
2015,12,29,Working Day,Missing,Mardan,Khyber-Pakhtunkhwa,Office Building,Missing,Civilian,23,53,56
2016,1,13,Working Day,Missing,Quetta,Balochistan,Missing,Missing,Police and Military,15,30,44
2016,1,19,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Missing,11,22,52
2016,1,29,Working Day,Missing,Zhob,Balochistan,Missing,Missing,Police and Military,0,5,52
2016,2,6,Weekend or Holiday,Missing,Quetta,Balochistan,Missing,Missing,Police and Military,10,32,49
2016,3,7,Working Day,Missing,Shabqadar-Charsadda,Khyber-Pakhtunkhwa,Missing,Missing,Missing,15,29,62
2016,3,27,Weekend or Holiday,Missing,Lahore,Punjab,Missing,Missing,Missing,71,266,72
2016,4,16,Weekend or Holiday,Missing,Khyber Agency,FATA,Commercial and Residence Area,High,Civilian,2,0,77
2016,4,19,Working Day,Missing,Mardan,Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",1,14,73
2016,5,30,Working Day,Missing,Mardan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,13,86
2016,8,8,Working Day,Missing,Quetta,Balochistan,Office Building,High,"Government, Media and Officer",70,116,85
2016,9,2,Working Day,5,Mardan,Khyber-Pakhtunkhwa,Office Building,High,Civilian,13,56,82
2016,9,13,Weekend or Holiday,7,Shikarpur,Sindh,Religious Area,High,Religious,0,11,89
2016,9,16,Working Day,13,Mohmand Agency ,FATA,Religious Area,High,Religious,26,22,83
2016,10,25,Working Day,12,Quetta,Balochistan,Office Building,High,Police and Military,59,132,58
2016,11,12,Weekend or Holiday,18,Khuzdar,Balochistan,Religious Area,High,Civilian,48,100,Missing
2016,11,26,Weekend or Holiday,6,Mohmand Agency,FATA,Military or Police Area,High,Police and Military,2,14,63
2017,2,7,Working Day,5,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,0,2,Missing
2017,2,13,Working Day,18,Lahore,Punjab,Office Building,High,Civilian,16,86,61
2017,2,15,Working Day,8,"Ghallanai, Mohmand Agency ",FATA,Commercial and Residence Area,High,Police and Military,6,1,52
2017,2,15,Working Day,15,Hayatabad,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,"Government, Media and Officer",1,11,61
2017,2,15,Working Day,9,"Mosal Kor, Mohmand Agency",FATA,Office Building,High,"Government, Media and Officer",1,0,Missing
2017,2,16,Working Day,18,Sehwan town,Sindh,Religious Area,High,Party and Election,71,175,74
2017,2,21,Working Day,9,"Tangi, Charsadda District",Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",6,17,52
2017,4,5,Working Day,7,Lahore,Punjab,Missing,Low,Police and Military,6,20,84
2017,5,12,Working Day,14,Quetta,Balochistan,Missing,Low,"Government, Media and Officer",26,36,111
2017,5,20,Weekend or Holiday,Missing,Kohat,Khyber-Pakhtunkhwa,Military or Police Area,Low,Police and Military,2,0,99
2017,6,23,Working Day,13,Quetta,Balochistan,Religious Area,Low,Party and Election,57,100,97
2017,7,10,Working Day,11,Chaman,Balochistan,Missing,Low,Police and Military,2,6,100
2017,7,17,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,4,98
2017,7,17,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,1,98
2017,7,24,Working Day,15,Lahore,Punjab,Missing,Medium,Police and Military,26,56,88
2017,8,12,Weekend or Holiday,17,Quetta,Balochistan,Missing,Medium,Police and Military,15,40,Missing
